# The World Bank's Databank
# Data from database: Education Statistics - All Indicators
# Source: https://databank.worldbank.org/home.aspx
# Last Updated: 04/21/2020
#
# The World Bank EdStats Query holds around 2,500 internationally
# comparable education indicators for access, progression, completion,
# literacy, teachers, population, and expenditures. The indicators
# cover the education cycle from pre-primary to tertiary education.
# The query also holds learning outcome data from international
# learning assessments (PISA, TIMSS, etc.), equity data from
# household surveys, and projection data to 2050.
#
# Extracted range: 2010-2019, all available countries.
CountryName,CountryCode,Series,Code,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019
Afghanistan,AFG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.47945,3.46201,2.6042,3.45446,3.69522,3.2558,4.22836,4.05887,NA,NA
Afghanistan,AFG,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,80.63546,80.93683,86.32884,85.90214,86.7296,83.50442,82.55836,82.08028,82.85025,NA
Afghanistan,AFG,"Net enrolment rate, primary, female (%)",SE.PRM.NENR.FE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,NA,NA,NA,NA,NA,NA,79.9346,84.41495,85.62533,NA
Afghanistan,AFG,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,PISA: Mean performance on the reading scale,LO.PISA.REA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,PISA: Mean performance on the science scale,LO.PISA.SCI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,"Primary completion rate, female (%)",SE.PRM.CMPT.FE.ZS,NA,NA,NA,NA,NA,NA,64.42105,66.68888,67.1293,NA
Afghanistan,AFG,"Primary completion rate, male (%)",SE.PRM.CMPT.MA.ZS,NA,NA,NA,NA,NA,NA,94.67304,101.29421,103.28326,NA
Afghanistan,AFG,"School age population, primary education, female (number)",SP.PRM.TOTL.FE.IN,2575718,2646302,2720187,2795198,2864617,2924287,2986428,3037922,3077327,3106230
